Step,Velocity²
0,1.8999292260565903e-12
1,7.5997168994691e-12
2,1.7099363005965738e-11
3,3.0398867521760196e-11
4,4.749823041355164e-11
5,6.839745163852469e-11
6,9.309653114434948e-11
7,1.2159546886918158e-10
8,1.538942647416621e-10
9,1.8999291868091766e-10
10,2.2989143059656018e-10
11,2.735898003886873e-10
12,3.2108802794788204e-10
13,3.723861131552129e-10
14,4.2748405588223406e-10
15,4.863818559909848e-10
16,5.490795133339905e-10
17,6.155770277542614e-10
18,6.858743990852939e-10
19,7.599716271510695e-10
20,8.378687117660554e-10
21,9.19565652735204e-10
22,1.0050624498539542e-09
23,1.0943591029082292e-09
24,1.1874556116744386e-09
25,1.2843519759194775e-09
26,1.385048195400726e-09
27,1.4895442698660505e-09
28,1.5978401990538032e-09
29,1.7099359826928202e-09
30,1.825831620502425e-09
31,1.9455271121924267e-09
32,2.0690224574631187e-09
33,2.1963176560052814e-09
34,2.32741270750018e-09
35,2.4623076116195657e-09
36,2.601002368025675e-09
37,2.743496976371231e-09
38,2.8897914362994417e-09
39,3.0398857474440006e-09
40,3.193779909429088e-09
41,3.351473921869369e-09
42,3.512967784369994e-09
43,3.678261496526603e-09
44,3.8473550579253146e-09
45,4.02024846814274e-09
46,4.196941726745972e-09
47,4.377434833292592e-09
48,4.561727787330665e-09
49,4.7498205883987425e-09
50,4.941713236025866e-09
51,5.137405729731553e-09
52,5.3368980690258165e-09
53,5.5401902534091535e-09
54,5.747282282372542e-09
55,5.958174155397453e-09
56,6.172865871955837e-09
57,6.391357431510133e-09
58,6.613648833513268e-09
59,6.839740077408652e-09
60,7.069631162630184e-09
61,7.303322088602249e-09
62,7.540812854739712e-09
63,7.782103460447934e-09
64,8.027193905122753e-09
65,8.276084188150497e-09
66,8.52877430890798e-09
67,8.785264266762507e-09
68,9.045554061071859e-09
69,9.309643691184314e-09
70,9.577533156438627e-09
71,9.849222456164046e-09
72,1.01247115896803e-08
73,1.040400055629761e-08
74,1.0687089355316678e-08
75,1.0973977986028699e-08
76,1.1264666447715346e-08
77,1.1559154739648784e-08
78,1.1857442861091663e-08
79,1.2159530811297122e-08
80,1.2465418589508778e-08
81,1.2775106194960749e-08
82,1.3088593626877628e-08
83,1.3405880884474496e-08
84,1.3726967966956923e-08
85,1.4051854873520967e-08
86,1.4380541603353171e-08
87,1.471302815563056e-08
88,1.5049314529520657e-08
89,1.5389400724181464e-08
90,1.573328673876146e-08
91,1.6080972572399638e-08
92,1.643245822422545e-08
93,1.6787743693358855e-08
94,1.7146828978910286e-08
95,1.7509714079980663e-08
96,1.7876398995661403e-08
97,1.8246883725034402e-08
98,1.862116826717205e-08
99,1.899925262113721e-08
100,1.9381136785983253e-08
101,1.976682076075402e-08
102,2.015630454448384e-08
103,2.054958813619754e-08
104,2.094667153491043e-08
105,2.1347554739628306e-08
106,2.1752237749347445e-08
107,2.216072056305462e-08
108,2.2573003179727088e-08
109,2.2989085598332598e-08
110,2.3408967817829376e-08
111,2.383264983716615e-08
112,2.426013165528212e-08
113,2.4691413271106992e-08
114,2.512649468356093e-08
115,2.556537589155462e-08
116,2.600805689398922e-08
117,2.6454537689756368e-08
118,2.6904818277738202e-08
119,2.7358898656807348e-08
120,2.7816778825826904e-08
121,2.8278458783650475e-08
122,2.874393852912215e-08
123,2.9213218061076487e-08
124,2.9686297378338563e-08
125,3.016317647972392e-08
126,3.064385536403859e-08
127,3.1128334030079106e-08
128,3.161661247663249e-08
129,3.210869070247621e-08
130,3.2604568706378297e-08
131,3.3104246487097204e-08
132,3.360772404338191e-08
133,3.411500137397186e-08
134,3.4626078477597006e-08
135,3.514095535297778e-08
136,3.565963199882509e-08
137,3.6182108413840354e-08
138,3.6708384596715465e-08
139,3.723846054613282e-08
140,3.777233626076529e-08
141,3.8310011739276225e-08
142,3.8851486980319495e-08
143,3.939676198253943e-08
144,3.994583674457087e-08
145,4.0498711265039125e-08
146,4.105538554256e-08
147,4.1615859575739814e-08
148,4.218013336317533e-08
149,4.274820690345383e-08
150,4.332008019515308e-08
151,4.389575323684133e-08
152,4.447522602707733e-08
153,4.505849856441032e-08
