# t,mean_r,min_r,max_r
0.000000e+00,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
2.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
3.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
4.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
5.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
6.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
7.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
8.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
9.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.300000e-03,9.993897e-01,9.635159e-01,1.031789e+00
1.400000e-03,9.993896e-01,9.635158e-01,1.031789e+00
1.500000e-03,9.993897e-01,9.635159e-01,1.031789e+00
1.600000e-03,9.993895e-01,9.635157e-01,1.031788e+00
1.700000e-03,9.993899e-01,9.635162e-01,1.031789e+00
1.800000e-03,9.993891e-01,9.635153e-01,1.031788e+00
1.900000e-03,9.993908e-01,9.635170e-01,1.031790e+00
2.000000e-03,9.993873e-01,9.635135e-01,1.031786e+00
2.100000e-03,9.993943e-01,9.635205e-01,1.031793e+00
2.200000e-03,9.993803e-01,9.635066e-01,1.031779e+00
2.300000e-03,9.994083e-01,9.635345e-01,1.031807e+00
2.400000e-03,9.993524e-01,9.634786e-01,1.031751e+00
2.500000e-03,9.994642e-01,9.635904e-01,1.031863e+00
2.600000e-03,9.992405e-01,9.633667e-01,1.031639e+00
2.700000e-03,9.996879e-01,9.638141e-01,1.032087e+00
2.800000e-03,9.987931e-01,9.629194e-01,1.031192e+00
2.900000e-03,1.000583e+00,9.647089e-01,1.032982e+00
3.000000e-03,9.970036e-01,9.611299e-01,1.029403e+00
3.100000e-03,1.004162e+00,9.682878e-01,1.036561e+00
3.200000e-03,9.898457e-01,9.539719e-01,1.022245e+00
3.300000e-03,1.018478e+00,9.826037e-01,1.050876e+00
3.400000e-03,9.612139e-01,9.253401e-01,9.936128e-01
3.500000e-03,1.075741e+00,1.039867e+00,1.108140e+00
3.600000e-03,8.466866e-01,8.108129e-01,8.790856e-01
3.700000e-03,1.304796e+00,1.268922e+00,1.337195e+00
3.800000e-03,3.885777e-01,3.527039e-01,4.209766e-01
3.900000e-03,2.221014e+00,2.185140e+00,2.253412e+00
4.000000e-03,-1.443858e+00,-1.479732e+00,-1.411459e+00
4.100000e-03,5.885885e+00,5.850011e+00,5.918284e+00
4.200000e-03,-8.773601e+00,-8.809475e+00,-8.741203e+00
4.300000e-03,2.054537e+01,2.050950e+01,2.057777e+01
4.400000e-03,-3.809257e+01,-3.812845e+01,-3.806018e+01
4.500000e-03,7.918332e+01,7.914744e+01,7.921572e+01
4.600000e-03,-1.553685e+02,-1.554043e+02,-1.553361e+02
4.700000e-03,3.137351e+02,3.136992e+02,3.137675e+02
4.800000e-03,-6.244720e+02,-6.245079e+02,-6.244396e+02
4.900000e-03,1.251942e+03,1.251906e+03,1.251975e+03
5.000000e-03,-2.500886e+03,-2.500922e+03,-2.500854e+03
5.100000e-03,5.004771e+03,5.004735e+03,5.004803e+03
5.200000e-03,-1.000654e+04,-1.000658e+04,-1.000651e+04
5.300000e-03,2.001609e+04,2.001605e+04,2.001612e+04
5.400000e-03,-4.002917e+04,-4.002921e+04,-4.002914e+04
5.500000e-03,8.006134e+04,8.006131e+04,8.006137e+04
5.600000e-03,-1.601197e+05,-1.601197e+05,-1.601197e+05
5.700000e-03,3.202424e+05,3.202423e+05,3.202424e+05
5.800000e-03,-6.404817e+05,-6.404818e+05,-6.404817e+05
5.900000e-03,1.280966e+06,1.280966e+06,1.280967e+06
6.000000e-03,-2.561930e+06,-2.561930e+06,-2.561930e+06
6.100000e-03,5.123863e+06,5.123863e+06,5.123863e+06
6.200000e-03,-1.024772e+07,-1.024772e+07,-1.024772e+07
6.300000e-03,2.049545e+07,2.049545e+07,2.049545e+07
6.400000e-03,-4.099089e+07,-4.099089e+07,-4.099089e+07
6.500000e-03,8.198179e+07,8.198179e+07,8.198179e+07
6.600000e-03,-1.639636e+08,-1.639636e+08,-1.639636e+08
6.700000e-03,3.279272e+08,3.279272e+08,3.279272e+08
6.800000e-03,-6.558543e+08,-6.558543e+08,-6.558543e+08
6.900000e-03,1.311709e+09,1.311709e+09,1.311709e+09
7.000000e-03,-2.623417e+09,-2.623417e+09,-2.623417e+09
7.100000e-03,5.246835e+09,5.246835e+09,5.246835e+09
7.200000e-03,-1.049367e+10,-1.049367e+10,-1.049367e+10
7.300000e-03,2.098734e+10,2.098734e+10,2.098734e+10
7.400000e-03,-4.197468e+10,-4.197468e+10,-4.197468e+10
7.500000e-03,8.394935e+10,8.394935e+10,8.394935e+10
7.600000e-03,-1.678987e+11,-1.678987e+11,-1.678987e+11
7.700000e-03,3.357974e+11,3.357974e+11,3.357974e+11
7.800000e-03,-6.715948e+11,-6.715948e+11,-6.715948e+11
7.900000e-03,1.343190e+12,1.343190e+12,1.343190e+12
8.000000e-03,-2.686379e+12,-2.686379e+12,-2.686379e+12
8.100000e-03,5.372759e+12,5.372759e+12,5.372759e+12
8.200000e-03,-1.074552e+13,-1.074552e+13,-1.074552e+13
