# t,mean_r,min_r,max_r
0.000000e+00,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
2.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
3.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
4.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
5.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
6.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
7.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
8.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
9.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
6.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
6.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
6.200000e-03,9.993897e-01,9.635159e-01,1.031789e+00
6.300000e-03,9.993896e-01,9.635158e-01,1.031788e+00
6.400000e-03,9.993897e-01,9.635160e-01,1.031789e+00
6.500000e-03,9.993894e-01,9.635156e-01,1.031788e+00
6.600000e-03,9.993901e-01,9.635163e-01,1.031789e+00
6.700000e-03,9.993887e-01,9.635150e-01,1.031788e+00
6.800000e-03,9.993914e-01,9.635177e-01,1.031790e+00
6.900000e-03,9.993860e-01,9.635123e-01,1.031785e+00
7.000000e-03,9.993968e-01,9.635231e-01,1.031796e+00
7.100000e-03,9.993752e-01,9.635015e-01,1.031774e+00
7.200000e-03,9.994184e-01,9.635447e-01,1.031817e+00
7.300000e-03,9.993320e-01,9.634583e-01,1.031731e+00
7.400000e-03,9.995049e-01,9.636311e-01,1.031904e+00
7.500000e-03,9.991592e-01,9.632854e-01,1.031558e+00
7.600000e-03,9.998505e-01,9.639768e-01,1.032249e+00
7.700000e-03,9.984678e-01,9.625941e-01,1.030867e+00
7.800000e-03,1.001233e+00,9.653595e-01,1.033632e+00
7.900000e-03,9.957025e-01,9.598287e-01,1.028101e+00
8.000000e-03,1.006764e+00,9.708902e-01,1.039163e+00
8.100000e-03,9.846410e-01,9.487672e-01,1.017040e+00
8.200000e-03,1.028887e+00,9.930132e-01,1.061286e+00
8.300000e-03,9.403949e-01,9.045212e-01,9.727938e-01
8.400000e-03,1.117379e+00,1.081505e+00,1.149778e+00
