# t,mean_r,min_r,max_r
0.000000e+00,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
2.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
3.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
4.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
5.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
6.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
7.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
8.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
9.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.500000e-03,9.993897e-01,9.635159e-01,1.031789e+00
1.600000e-03,9.993896e-01,9.635158e-01,1.031788e+00
1.700000e-03,9.993897e-01,9.635160e-01,1.031789e+00
1.800000e-03,9.993894e-01,9.635157e-01,1.031788e+00
1.900000e-03,9.993901e-01,9.635163e-01,1.031789e+00
2.000000e-03,9.993888e-01,9.635150e-01,1.031788e+00
2.100000e-03,9.993914e-01,9.635176e-01,1.031790e+00
2.200000e-03,9.993861e-01,9.635123e-01,1.031785e+00
2.300000e-03,9.993967e-01,9.635229e-01,1.031796e+00
2.400000e-03,9.993755e-01,9.635018e-01,1.031774e+00
2.500000e-03,9.994179e-01,9.635441e-01,1.031817e+00
2.600000e-03,9.993332e-01,9.634594e-01,1.031732e+00
2.700000e-03,9.995025e-01,9.636288e-01,1.031901e+00
2.800000e-03,9.991638e-01,9.632901e-01,1.031563e+00
2.900000e-03,9.998412e-01,9.639674e-01,1.032240e+00
3.000000e-03,9.984865e-01,9.626127e-01,1.030885e+00
3.100000e-03,1.001196e+00,9.653221e-01,1.033595e+00
3.200000e-03,9.957771e-01,9.599033e-01,1.028176e+00
3.300000e-03,1.006615e+00,9.707410e-01,1.039014e+00
3.400000e-03,9.849394e-01,9.490657e-01,1.017338e+00
3.500000e-03,1.028290e+00,9.924163e-01,1.060689e+00
3.600000e-03,9.415887e-01,9.057150e-01,9.739876e-01
3.700000e-03,1.114991e+00,1.079118e+00,1.147390e+00
3.800000e-03,7.681861e-01,7.323123e-01,8.005850e-01
3.900000e-03,1.461797e+00,1.425923e+00,1.494196e+00
4.000000e-03,7.457544e-02,3.870168e-02,1.069743e-01
4.100000e-03,2.849018e+00,2.813144e+00,2.881417e+00
4.200000e-03,-2.699867e+00,-2.735741e+00,-2.667468e+00
4.300000e-03,8.397903e+00,8.362029e+00,8.430302e+00
4.400000e-03,-1.379764e+01,-1.383351e+01,-1.376524e+01
4.500000e-03,3.059344e+01,3.055757e+01,3.062584e+01
4.600000e-03,-5.818872e+01,-5.822459e+01,-5.815632e+01
4.700000e-03,1.193756e+02,1.193397e+02,1.194080e+02
4.800000e-03,-2.357530e+02,-2.357889e+02,-2.357206e+02
4.900000e-03,4.745043e+02,4.744684e+02,4.745367e+02
5.000000e-03,-9.460103e+02,-9.460462e+02,-9.459779e+02
5.100000e-03,1.895019e+03,1.894983e+03,1.895051e+03
5.200000e-03,-3.787040e+03,-3.787075e+03,-3.787007e+03
5.300000e-03,7.577077e+03,7.577041e+03,7.577110e+03
5.400000e-03,-1.515116e+04,-1.515119e+04,-1.515112e+04
5.500000e-03,3.030531e+04,3.030527e+04,3.030534e+04
5.600000e-03,-6.060762e+04,-6.060766e+04,-6.060759e+04
5.700000e-03,1.212182e+05,1.212182e+05,1.212183e+05
5.800000e-03,-2.424335e+05,-2.424335e+05,-2.424335e+05
5.900000e-03,4.848700e+05,4.848699e+05,4.848700e+05
6.000000e-03,-9.697370e+05,-9.697370e+05,-9.697369e+05
6.100000e-03,1.939477e+06,1.939477e+06,1.939477e+06
6.200000e-03,-3.878951e+06,-3.878951e+06,-3.878951e+06
6.300000e-03,7.757905e+06,7.757905e+06,7.757905e+06
6.400000e-03,-1.551581e+07,-1.551581e+07,-1.551581e+07
6.500000e-03,3.103162e+07,3.103162e+07,3.103162e+07
6.600000e-03,-6.206323e+07,-6.206323e+07,-6.206323e+07
6.700000e-03,1.241265e+08,1.241265e+08,1.241265e+08
6.800000e-03,-2.482529e+08,-2.482529e+08,-2.482529e+08
6.900000e-03,4.965058e+08,4.965058e+08,4.965058e+08
7.000000e-03,-9.930117e+08,-9.930117e+08,-9.930117e+08
7.100000e-03,1.986023e+09,1.986023e+09,1.986023e+09
7.200000e-03,-3.972047e+09,-3.972047e+09,-3.972047e+09
7.300000e-03,7.944093e+09,7.944093e+09,7.944093e+09
7.400000e-03,-1.588819e+10,-1.588819e+10,-1.588819e+10
7.500000e-03,3.177637e+10,3.177637e+10,3.177637e+10
7.600000e-03,-6.355275e+10,-6.355275e+10,-6.355275e+10
7.700000e-03,1.271055e+11,1.271055e+11,1.271055e+11
7.800000e-03,-2.542110e+11,-2.542110e+11,-2.542110e+11
7.900000e-03,5.084220e+11,5.084220e+11,5.084220e+11
8.000000e-03,-1.016844e+12,-1.016844e+12,-1.016844e+12
8.100000e-03,2.033688e+12,2.033688e+12,2.033688e+12
8.200000e-03,-4.067376e+12,-4.067376e+12,-4.067376e+12
