# t,mean_r,min_r,max_r
0.000000e+00,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
2.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
3.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
4.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
5.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
6.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
7.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
8.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
9.000000e-04,9.993896e-01,9.635159e-01,1.031789e+00
1.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
1.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
2.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
3.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
4.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.200000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.300000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.400000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.500000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.600000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.700000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.800000e-03,9.993896e-01,9.635159e-01,1.031789e+00
5.900000e-03,9.993896e-01,9.635159e-01,1.031789e+00
6.000000e-03,9.993896e-01,9.635159e-01,1.031789e+00
6.100000e-03,9.993896e-01,9.635159e-01,1.031789e+00
6.200000e-03,9.993897e-01,9.635159e-01,1.031789e+00
6.300000e-03,9.993896e-01,9.635158e-01,1.031789e+00
6.400000e-03,9.993897e-01,9.635159e-01,1.031789e+00
6.500000e-03,9.993895e-01,9.635157e-01,1.031788e+00
6.600000e-03,9.993899e-01,9.635162e-01,1.031789e+00
6.700000e-03,9.993891e-01,9.635153e-01,1.031788e+00
6.800000e-03,9.993908e-01,9.635170e-01,1.031790e+00
6.900000e-03,9.993873e-01,9.635136e-01,1.031786e+00
7.000000e-03,9.993942e-01,9.635205e-01,1.031793e+00
7.100000e-03,9.993805e-01,9.635067e-01,1.031779e+00
7.200000e-03,9.994080e-01,9.635342e-01,1.031807e+00
7.300000e-03,9.993530e-01,9.634792e-01,1.031752e+00
7.400000e-03,9.994630e-01,9.635892e-01,1.031862e+00
7.500000e-03,9.992429e-01,9.633692e-01,1.031642e+00
7.600000e-03,9.996830e-01,9.638093e-01,1.032082e+00
7.700000e-03,9.988028e-01,9.629290e-01,1.031202e+00
7.800000e-03,1.000563e+00,9.646895e-01,1.032962e+00
7.900000e-03,9.970423e-01,9.611685e-01,1.029441e+00
8.000000e-03,1.004084e+00,9.682105e-01,1.036483e+00
8.100000e-03,9.900003e-01,9.541266e-01,1.022399e+00
8.200000e-03,1.018168e+00,9.822945e-01,1.050567e+00
8.300000e-03,9.618324e-01,9.259587e-01,9.942313e-01
8.400000e-03,1.074504e+00,1.038630e+00,1.106903e+00
